Regn Prefix,Old Prefix,Country Name,Period,Remarks,has_dash,clean_prefix,reg_format
S3-,,Bangladesh,1976,,1,S3,ANY
S5-,SL-,Slovenia,,,1,S5,ANY
S7-,VQ-S,Seychelles,1977-,,1,S7,ANY
S9-,CR-S,Sao Tome and Principe,,,1,S9,ANY
SE-,,Sweden,1929-,,1,SE,ANY
SP-,,Poland,1929-,,1,SP,ANY
ST-,SN-,Sudan,1959-,,1,ST,ANY
SU-,,Egypt,1931-,,1,SU,ANY
SX-,,Greece,1929-,,1,SX,ANY
T3-,,Kiribati,,,1,T3,ANY
T7-,,San Marino,,,1,T7,ANY
TC-,,Turkey,1929-,,1,TC,ANY
TF-,,Iceland,1937-,,1,TF,ANY
TG-,LG-,Guatemala,1948-,,1,TG,ANY
TI-,,Costa Rica,1931-,,1,TI,ANY
TJ-,"F-O, VR-N",Cameroon,1960-,,1,TJ,ANY
TL-,F-O,Central African Republic,1960-,,1,TL,ANY
TN-,F-O,Congo,1960-,,1,TN,ANY
TR-,F-O,Gabon,1960-,,1,TR,ANY
TS-,F-O,Tunisia,1956-,,1,TS,ANY
TT-,F-O,Chad,1960-,,1,TT,ANY
TU-,F-O,Cote D'Ivoire,1960-,,1,TU,ANY
TY-,F-O,Benin,1960-,,1,TY,ANY
TZ-,F-O,Mali,1960-,,1,TZ,ANY
UK-,CCCP-,Uzbekistan,,,1,UK,ANY
UN-,CCCP-,Kazakhstan,,,1,UN,ANY
UP-,CCCP-,Kazakhstan,2008-,,1,UP,ANY
UR-,CCCP-,Ukraine,,,1,UR,ANY
V2-,VP-L,Antigua,,,1,V2,ANY
V3-,VP-H,Belize,,,1,V3,ANY
V4-,VP-LKA-LLZ,St. Kitts and Nevis,,,1,V4,ANY
V5-,,Namibia,,,1,V5,ANY
V7-,,Marshall Islands,,,1,V7,ANY
V8-,VR-U,Brunei,,,1,V8,ANY
VH-,,Australia,1929-,,1,VH,ANY
VN-,XV-,Vietnam,,,1,VN,ANY
VP-B,VR-B,Bermuda,,,1,VPB,ANY
VQ-B,VR-B,Bermuda,,,1,VQB,ANY
VP-C,VR-C,Cayman Islands,,,1,VPC,ANY
VP-F,,Falkland Islands,1929-,,1,VPF,ANY
VP-LMA-LUZ,,Montserrat,,,1,VPLMALUZ,ANY
VP-LV,,British Virgin Islands,1971-,,1,VPLV,ANY
VQ-H,,St. Helena,1929-,,1,VQH,ANY
VQ-T,,Turks and Caicos Islands,,,1,VQT,ANY
VT-,,India,1930-,,1,VT,ANY
XA-,,Mexico,1929-,Commercial,1,XA,ANY
XB-,,Mexico,1929-,Private,1,XB,ANY
XC-,,Mexico,1929-,Government,1,XC,ANY
XT-,F-O,Burkina Faso,,,1,XT,ANY
